------------ Data File Created By ActiGraph GT1M ActiLife v3.1.2 -----------,,,
Serial Number: LYN2B06080469,,,
Start Time 14:00:00,,,
Start Date 09/23/2008,,,
Cycle Period (hh:mm:ss) 00:01:00,,,
Download Time 14:45:05,,,
Download Date 09/30/2008,,,
Current Memory Address: 40496,,,
Current Battery Voltage: 3.96     Mode = 1,,,
--------------------------------------------------,,,
Date,Time,Activity,Steps
9/23/2008,14:01:00,0,0
9/23/2008,14:02:00,0,0
9/23/2008,14:03:00,0,0
9/23/2008,14:04:00,0,0
9/23/2008,14:05:00,0,0
9/23/2008,14:06:00,399,5
9/23/2008,14:07:00,1440,7
9/23/2008,14:08:00,1075,6
9/23/2008,14:09:00,796,10
9/23/2008,14:10:00,74,2
9/23/2008,14:11:00,0,0
9/23/2008,14:12:00,0,0
9/23/2008,14:13:00,0,0
9/23/2008,14:14:00,0,0
9/23/2008,14:15:00,189,9
9/23/2008,14:16:00,61,2
9/23/2008,14:17:00,86,3
9/23/2008,14:18:00,0,0
9/23/2008,14:19:00,0,0
9/23/2008,14:20:00,112,5
9/23/2008,14:21:00,49,2
9/23/2008,14:22:00,0,0
9/23/2008,14:23:00,0,0
9/23/2008,14:24:00,0,0
9/23/2008,14:25:00,0,0
9/23/2008,14:26:00,0,0
9/23/2008,14:27:00,90,4
9/23/2008,14:28:00,24,1
9/23/2008,14:29:00,233,7
9/23/2008,14:30:00,0,0
9/23/2008,14:31:00,0,0
9/23/2008,14:32:00,33,1
9/23/2008,14:33:00,766,21
9/23/2008,14:34:00,886,29
9/23/2008,14:35:00,0,0
9/23/2008,14:36:00,0,0
9/23/2008,14:37:00,0,0
9/23/2008,14:38:00,0,0
9/23/2008,14:39:00,0,0
9/23/2008,14:40:00,86,2
9/23/2008,14:41:00,0,0
9/23/2008,14:42:00,0,0
9/23/2008,14:43:00,0,0
9/23/2008,14:44:00,0,0
9/23/2008,14:45:00,0,0
9/23/2008,14:46:00,0,0
9/23/2008,14:47:00,0,0
9/23/2008,14:48:00,0,0
9/23/2008,14:49:00,0,0
9/23/2008,14:50:00,0,0
9/23/2008,14:51:00,0,0
9/23/2008,14:52:00,0,0
9/23/2008,14:53:00,0,0
9/23/2008,14:54:00,0,0
9/23/2008,14:55:00,0,0
9/23/2008,14:56:00,0,0
9/23/2008,14:57:00,0,0
9/23/2008,14:58:00,0,0
9/23/2008,14:59:00,0,0
9/23/2008,15:00:00,81,2
