"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
9635.69,1.10647e+07,636.423,5.7911,39.5252,1,0.003,0.0535,-0.000915874,0.00334058
2960.7,2.33942e+06,439.396,43.6237,32.1145,1,0.00305,0.0535,-0.000915874,0.00334058
900.935,419496,238.147,-8.77141,18.5303,1,0.0031,0.0535,-0.000915874,0.00334058
4272.02,5.36489e+06,330.2,-68.6565,5.41528,1,0.00315,0.0535,-0.000915874,0.00334058
5155.98,5.97549e+06,413.024,-21.5536,-4.39343,1,0.0032,0.0535,-0.000915874,0.00334058
10697.1,1.40932e+07,572.593,38.5358,37.7741,1,0.00325,0.0535,-0.000915874,0.00334058
11831.4,1.85992e+07,730.327,10.7542,28.5664,1,0.0033,0.0535,-0.000915874,0.00334058
9912.86,1.17421e+07,273.836,-84.4154,-23.4326,1,0.00335,0.0535,-0.000915874,0.00334058
4316.06,5.50168e+06,385.251,-10.12,46.1031,1,0.0034,0.0535,-0.000915874,0.00334058
2896.49,2.2217e+06,359.266,48.4819,23.6413,1,0.00345,0.0535,-0.000915874,0.00334058
1054.8,528561,237.948,19.4995,20.9306,1,0.0035,0.0535,-0.000915874,0.00334058
510.828,147668,174.29,10.0493,9.19018,1,0.00355,0.0535,-0.000915874,0.00334058
453.611,107866,152.245,4.12588,10.3584,1,0.0036,0.0535,-0.000915874,0.00334058
