"T","H","U:0","U:1","U:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
3186.44,2.8555e+06,348.488,-14.8426,-8.68949,1,0.003,0.0535,-0.00331545,-4.7522e-07
614.01,219494,183.31,-16.9864,10.4158,1,0.00305,0.0535,-0.00331545,-4.7522e-07
2311.63,1.79818e+06,328.339,-6.23618,36.7054,1,0.0031,0.0535,-0.00331545,-4.7522e-07
730.244,300406,175.57,-0.23151,3.50573,1,0.00315,0.0535,-0.00331545,-4.7522e-07
1115.02,570476,224.401,-1.01812,13.0133,1,0.0032,0.0535,-0.00331545,-4.7522e-07
850.218,384627,186.606,5.37305,2.92693,1,0.00325,0.0535,-0.00331545,-4.7522e-07
991.537,484574,174.151,-8.5195,-7.54481,1,0.0033,0.0535,-0.00331545,-4.7522e-07
1145.61,597083,172.19,-5.50247,1.06466,1,0.00335,0.0535,-0.00331545,-4.7522e-07
1348.12,735759,243.669,9.65454,-26.575,1,0.0034,0.0535,-0.00331545,-4.7522e-07
1331.51,726684,187.838,0.623206,-14.6494,1,0.00345,0.0535,-0.00331545,-4.7522e-07
2099.03,1.84817e+06,219.06,-1.39516,15.3395,1,0.0035,0.0535,-0.00331545,-4.7522e-07
6670.49,7.66777e+06,482.65,-4.21384,64.652,1,0.00355,0.0535,-0.00331545,-4.7522e-07
11341.8,1.62017e+07,540.497,-14.8012,51.4194,1,0.0036,0.0535,-0.00331545,-4.7522e-07
